編號,經度,緯度,事件類別,CBI值
108_A1_292,120.340946,23.965619,A1,3
108_A1_293,121.053396,24.826425,A1,3
108_A1_294,121.517555,25.002025,A1,3
108_A1_295,120.986871,24.80364,A1,3
108_A1_296,121.514519,24.992575,A1,3
108_A2_1-6_1,121.200598,24.703556,A2,1
108_A2_1-6_2,121.190897,24.925995,A2,1
108_A2_1-6_3,121.429796,24.992226,A2,1
108_A2_1-6_4,121.755081,24.754043,A2,1
108_A2_1-6_5,120.737272,21.949566,A2,1
108_A2_1-6_6,121.663473,25.068979,A2,1
108_A2_1-6_7,120.848277,21.91014,A2,1
108_A2_1-6_8,121.74782,25.12886,A2,1
108_A2_1-6_9,120.366675,23.364545,A2,1
108_A2_1-6_10,121.50755,25.048491,A2,1
108_A2_1-6_11,121.507623,25.012143,A2,1
108_A2_1-6_12,120.537634,24.093536,A2,1
108_A2_1-6_13,121.767131,24.676196,A2,1
108_A2_1-6_14,121.486031,25.019993,A2,1
108_A2_1-6_15,120.216627,23.006018,A2,1
108_A2_1-6_16,120.523141,22.617465,A2,1
108_A2_1-6_17,120.546644,23.924091,A2,1
108_A2_1-6_18,121.31715,24.996712,A2,1
108_A2_1-6_19,120.977635,24.809412,A2,1
108_A2_1-6_20,120.955477,24.804788,A2,1
108_A2_1-6_21,120.3645,22.63924,A2,1
108_A2_1-6_22,120.745752,21.995553,A2,1
108_A2_1-6_23,120.963513,24.793721,A2,1
108_A2_1-6_24,120.255976,22.971172,A2,1
108_A2_1-6_25,121.642257,25.065043,A2,1
108_A2_1-6_26,121.092053,22.808634,A2,1
108_A2_1-6_27,120.580972,24.17379,A2,1
108_A2_1-6_28,120.438138,23.472923,A2,1
108_A2_1-6_29,121.735225,25.101725,A2,1
108_A2_1-6_30,121.567302,23.979692,A2,1
108_A2_1-6_31,120.703699,24.471259,A2,1
108_A2_1-6_32,121.299826,24.962418,A2,1
108_A2_1-6_33,120.3714,22.57618,A2,1
108_A2_1-6_34,121.24859,25.024263,A2,1
108_A2_1-6_35,121.437909,25.17146,A2,1
108_A2_1-6_36,120.483192,23.966953,A2,1
108_A2_1-6_37,121.226669,24.955102,A2,1
108_A2_1-6_38,121.172617,24.930474,A2,1
108_A2_1-6_39,121.629745,25.070644,A2,1
108_A2_1-6_40,121.560526,25.017616,A2,1
108_A2_1-6_41,120.286367,22.651315,A2,1
108_A2_1-6_42,121.513878,25.051599,A2,1
108_A2_1-6_43,120.373518,22.622427,A2,1
108_A2_1-6_44,121.739704,25.131665,A2,1
108_A2_1-6_45,121.370361,25.049203,A2,1
108_A2_1-6_46,121.510067,25.009817,A2,1
108_A2_1-6_47,121.156198,24.910945,A2,1
108_A2_1-6_48,121.55295,25.053339,A2,1
108_A2_1-6_49,120.3491,22.70183,A2,1
108_A2_1-6_50,121.424137,25.178215,A2,1
108_A2_1-6_51,121.426406,25.029985,A2,1
108_A2_1-6_52,121.493363,25.060956,A2,1
108_A2_1-6_53,120.970797,24.805869,A2,1
108_A2_1-6_54,121.49575,25.020545,A2,1
108_A2_1-6_55,121.584089,25.038428,A2,1
108_A2_1-6_56,121.493136,25.062532,A2,1
108_A2_1-6_57,121.49424,25.035322,A2,1
108_A2_1-6_58,121.292101,25.047256,A2,1
108_A2_1-6_59,121.548582,25.038714,A2,1
